,0
1425,4
1426,1
1427,5
1428,1
1429,1
1430,3
1431,5
1432,5
1433,6
1434,4
1435,4
1436,4
1437,1
1438,4
1439,5
1440,5
1441,1
1442,3
1443,4
1444,5
1445,5
1446,1
1447,6
1448,4
1449,1
1450,4
1451,6
1452,1
1453,4
1454,0
1455,6
1456,4
1457,4
1458,1
1459,4
1460,4
1461,0
1462,4
1463,4
1464,5
1465,1
1466,4
1467,1
1468,5
1469,4
1470,0
1471,4
1472,0
1473,5
1474,4
1475,5
1476,4
1477,4
1478,1
1479,4
1480,5
1481,5
1482,1
1483,5
1484,4
1485,4
1486,5
1487,0
1488,5
1489,5
1490,4
1491,0
1492,4
1493,4
1494,4
1495,4
1496,4
1497,1
1498,4
1499,4
1500,4
1501,1
1502,4
1503,5
1504,3
1505,5
1506,4
1507,4
1508,5
1509,0
1510,0
1511,0
1512,4
1513,3
1514,0
1515,0
1516,0
1517,0
1518,0
1519,5
1520,4
1521,5
1522,1
1523,0
1524,1
1525,5
1526,1
1527,1
1528,4
1529,1
1530,4
1531,4
1532,4
1533,5
1534,0
1535,0
1536,0
1537,0
1538,3
1539,4
1540,4
1541,5
1542,5
1543,5
1544,5
1545,1
1546,5
1547,0
1548,0
1549,5
1550,0
1551,5
1552,6
1553,0
1554,4
1555,0
1556,6
1557,0
1558,0
1559,5
1560,0
1561,5
1562,5
1563,1
1564,4
1565,6
1566,5
1567,5
1568,4
1569,0
1570,4
1571,4
1572,5
1573,4
1574,0
1575,4
1576,4
1577,5
1578,4
1579,4
1580,0
1581,4
1582,4
1583,4
1584,4
1585,4
1586,5
1587,5
1588,2
1589,4
1590,4
1591,1
1592,1
1593,4
1594,4
1595,5
1596,1
1597,4
1598,5
1599,4
1600,5
1601,5
1602,1
1603,4
1604,4
1605,1
1606,4
1607,0
1608,0
1609,5
1610,1
1611,4
1612,0
1613,1
1614,1
1615,1
1616,3
1617,1
1618,1
1619,1
1620,1
1621,3
1622,3
1623,1
1624,1
1625,1
1626,1
1627,1
1628,1
1629,1
1630,1
1631,1
1632,1
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1640,3
1641,1
1642,1
1643,1
1644,4
1645,4
1646,1
1647,1
1648,1
1649,4
1650,1
1651,1
1652,4
1653,1
1654,5
1655,4
1656,1
1657,1
1658,1
1659,1
1660,1
1661,1
1662,1
1663,1
1664,1
1665,0
1666,4
1667,1
1668,1
1669,1
1670,1
1671,1
1672,1
1673,0
1674,1
1675,1
1676,1
1677,1
1678,1
1679,1
1680,3
1681,1
1682,1
1683,4
1684,1
1685,1
1686,1
1687,3
1688,1
1689,1
1690,1
1691,1
1692,1
1693,1
1694,1
1695,0
1696,3
1697,1
1698,1
1699,4
1700,1
1701,1
1702,1
1703,4
1704,1
1705,1
1706,4
1707,1
1708,3
1709,1
1710,4
1711,4
1712,4
1713,4
1714,4
1715,4
1716,5
1717,4
1718,5
1719,5
1720,4
1721,6
1722,5
1723,4
1724,4
1725,6
1726,5
1727,1
1728,4
1729,4
1730,4
1731,4
1732,5
1733,5
1734,4
1735,4
1736,4
1737,6
1738,5
1739,5
1740,5
1741,4
1742,5
1743,1
1744,5
1745,5
1746,4
1747,0
1748,0
1749,1
1750,0
1751,1
1752,5
1753,1
1754,5
1755,4
1756,1
1757,4
1758,5
1759,4
1760,4
1761,4
1762,4
1763,4
1764,5
1765,4
1766,5
1767,5
1768,4
1769,0
1770,4
1771,1
1772,0
1773,0
1774,4
1775,1
1776,5
1777,4
1778,5
1779,0
1780,0
1781,4
1782,6
1783,5
1784,4
1785,5
1786,5
1787,4
1788,4
1789,4
1790,5
1791,1
1792,4
1793,4
1794,4
1795,4
1796,4
1797,6
1798,4
1799,1
1800,0
1801,1
1802,3
1803,4
1804,4
1805,4
1806,5
1807,4
1808,4
1809,3
1810,5
1811,4
1812,3
1813,5
1814,3
1815,4
1816,5
1817,1
1818,4
1819,5
1820,5
1821,4
1822,5
1823,4
1824,1
1825,3
1826,4
1827,5
1828,4
1829,5
1830,5
1831,5
1832,1
1833,1
1834,4
1835,4
1836,5
1837,5
1838,3
1839,1
1840,5
1841,4
1842,4
1843,1
1844,5
1845,1
1846,4
1847,4
1848,5
1849,6
1850,1
1851,6
1852,6
1853,5
1854,0
1855,5
1856,5
1857,6
1858,1
1859,4
1860,5
1861,6
1862,5
1863,4
1864,6
1865,6
1866,4
1867,5
1868,6
1869,5
1870,6
1871,6
1872,5
1873,6
1874,1
1875,6
1876,1
1877,1
1878,4
1879,1
1880,3
1881,5
1882,5
1883,1
1884,5
1885,3
1886,1
1887,1
1888,4
1889,5
1890,4
1891,4
1892,0
1893,3
1894,5
1895,3
1896,1
1897,1
1898,1
1899,3
1900,6
1901,3
1902,1
1903,1
1904,3
1905,4
1906,4
1907,3
1908,5
1909,5
1910,5
1911,3
1912,0
1913,5
1914,5
1915,4
1916,3
1917,3
1918,1
1919,4
1920,5
1921,1
1922,5
1923,5
1924,1
1925,1
1926,1
1927,1
1928,5
1929,1
1930,1
1931,5
1932,4
1933,3
1934,4
1935,4
1936,2
1937,3
1938,4
1939,4
1940,4
1941,1
1942,1
1943,1
1944,1
1945,4
1946,1
1947,4
1948,1
1949,1
1950,0
1951,1
1952,3
1953,4
1954,0
1955,1
1956,4
1957,4
1958,5
1959,3
1960,1
1961,5
1962,5
1963,5
1964,1
1965,1
1966,4
1967,0
1968,4
1969,5
1970,0
1971,0
1972,1
1973,4
1974,5
1975,6
1976,4
1977,0
1978,5
1979,4
1980,1
1981,4
1982,4
1983,5
1984,4
1985,4
1986,5
1987,4
1988,5
1989,1
1990,5
1991,4
1992,4
1993,4
1994,5
1995,0
1996,4
1997,0
1998,4
1999,0
2000,5
2001,4
2002,1
2003,0
2004,0
2005,6
2006,4
2007,4
2008,4
2009,5
2010,0
2011,1
2012,1
2013,0
2014,3
2015,3
2016,1
2017,4
2018,3
2019,6
2020,4
2021,4
2022,0
2023,5
2024,0
2025,4
2026,1
2027,5
2028,1
2029,0
2030,4
2031,4
2032,4
2033,4
2034,0
2035,4
2036,4
2037,0
2038,5
2039,4
2040,5
2041,4
2042,1
2043,1
2044,1
2045,3
2046,4
2047,5
2048,2
2049,5
2050,4
2051,6
2052,5
2053,5
2054,4
2055,4
2056,4
2057,0
2058,0
2059,6
2060,4
2061,5
2062,1
2063,5
2064,4
2065,4
2066,5
2067,5
2068,1
2069,3
2070,0
2071,1
2072,5
2073,1
2074,1
2075,1
2076,4
2077,1
2078,1
2079,5
2080,4
2081,3
2082,1
2083,5
2084,1
2085,4
2086,1
2087,4
2088,4
2089,4
2090,4
2091,1
2092,5
2093,5
2094,4
2095,0
2096,5
2097,4
2098,4
2099,4
2100,3
2101,0
2102,5
2103,5
2104,5
2105,1
2106,1
2107,3
2108,5
2109,4
2110,5
2111,2
2112,0
2113,4
2114,5
2115,4
2116,5
2117,5
2118,4
2119,4
2120,5
2121,5
2122,6
2123,5
2124,5
2125,5
2126,3
2127,5
2128,5
2129,5
2130,5
2131,5
2132,4
2133,5
2134,4
2135,1
2136,5
2137,5
2138,3
2139,4
2140,6
2141,4
2142,6
2143,2
2144,4
2145,5
2146,4
2147,4
2148,5
2149,5
2150,5
2151,1
2152,3
2153,5
2154,5
2155,5
2156,5
2157,5
2158,4
2159,2
2160,5
2161,5
2162,4
2163,2
2164,4
2165,4
2166,5
2167,1
2168,4
2169,4
2170,5
2171,5
2172,4
2173,4
2174,4
2175,1
2176,5
2177,1
2178,5
2179,6
2180,5
2181,5
2182,1
2183,3
2184,0
2185,5
2186,6
2187,5
2188,4
2189,4
2190,5
2191,1
2192,5
2193,4
2194,0
2195,5
2196,5
2197,4
2198,3
2199,5
2200,2
2201,4
2202,5
2203,5
2204,6
2205,5
2206,0
2207,5
2208,4
2209,5
2210,4
2211,5
2212,5
2213,4
2214,4
2215,4
2216,1
2217,4
2218,5
2219,4
2220,1
2221,4
2222,5
2223,0
2224,4
2225,1
2226,4
2227,0
2228,4
2229,4
2230,5
2231,0
2232,6
2233,4
2234,1
2235,1
2236,0
2237,4
2238,6
2239,4
2240,0
2241,1
2242,1
2243,1
2244,4
2245,4
2246,4
2247,5
2248,0
2249,5
2250,4
2251,5
2252,0
2253,0
2254,6
2255,0
2256,5
2257,4
2258,5
2259,5
2260,4
2261,5
2262,0
2263,4
2264,5
2265,4
2266,1
2267,3
2268,4
2269,5
2270,5
2271,4
2272,4
2273,5
2274,5
2275,4
2276,5
2277,4
2278,4
2279,4
2280,5
2281,4
2282,1
2283,1
2284,3
2285,4
2286,1
2287,5
2288,5
2289,0
2290,5
2291,5
2292,3
2293,1
2294,4
2295,1
2296,4
2297,5
2298,4
2299,4
2300,1
2301,5
2302,4
2303,3
2304,5
2305,4
2306,5
2307,1
2308,5
2309,1
2310,1
2311,5
2312,5
2313,5
2314,1
2315,5
2316,5
2317,5
2318,4
2319,4
2320,5
2321,3
2322,1
2323,4
2324,5
2325,4
2326,4
2327,4
2328,5
2329,4
2330,5
2331,6
2332,4
2333,0
2334,4
2335,5
2336,5
2337,1
2338,1
2339,4
2340,4
2341,5
2342,1
2343,5
2344,4
2345,5
2346,4
2347,4
2348,5
2349,5
2350,1
2351,4
2352,4
2353,6
2354,5
2355,5
2356,4
2357,5
2358,4
2359,5
2360,5
2361,5
2362,5
2363,4
2364,4
2365,4
2366,4
2367,0
2368,4
2369,3
2370,4
2371,4
2372,4
2373,5
2374,5
2375,1
2376,1
2377,4
2378,5
2379,6
2380,1
2381,6
2382,1
2383,5
2384,4
2385,4
2386,4
2387,1
2388,4
2389,3
2390,5
2391,4
2392,4
2393,5
2394,4
2395,5
2396,1
2397,5
2398,5
2399,5
2400,4
2401,4
2402,4
2403,3
2404,1
2405,4
2406,6
2407,5
2408,5
2409,4
2410,4
2411,4
2412,4
2413,1
2414,4
2415,5
2416,4
2417,5
2418,5
2419,1
2420,1
2421,4
2422,4
2423,4
2424,5
2425,1
2426,4
2427,1
2428,2
2429,5
2430,4
2431,1
2432,1
2433,5
2434,2
2435,3
2436,1
2437,5
2438,2
2439,5
2440,4
2441,0
2442,2
2443,4
2444,5
2445,5
2446,3
2447,2
2448,5
2449,5
2450,4
2451,4
2452,1
2453,4
2454,1
2455,1
2456,4
2457,1
2458,2
2459,5
2460,1
2461,1
2462,5
2463,1
2464,3
2465,2
2466,5
2467,0
2468,3
2469,4
2470,2
2471,5
2472,3
2473,4
2474,4
2475,0
2476,1
2477,1
2478,4
2479,1
2480,1
2481,5
2482,5
2483,4
2484,5
2485,1
2486,1
2487,6
2488,4
2489,4
2490,1
2491,5
2492,4
2493,4
2494,1
2495,4
2496,1
2497,4
2498,5
2499,4
2500,5
2501,5
2502,1
2503,1
2504,5
2505,4
2506,5
2507,5
2508,4
2509,1
2510,5
2511,4
2512,5
2513,4
2514,5
2515,1
2516,4
2517,1
2518,6
2519,4
2520,5
2521,5
2522,1
2523,4
2524,4
2525,4
2526,2
2527,4
2528,4
2529,1
2530,4
2531,1
2532,5
2533,4
2534,5
2535,5
2536,5
2537,5
2538,4
2539,5
2540,1
2541,4
2542,1
2543,1
2544,5
2545,5
2546,1
2547,4
2548,4
2549,1
2550,4
2551,4
2552,4
2553,4
2554,6
2555,1
2556,5
2557,1
2558,5
2559,5
2560,4
2561,4
2562,6
2563,5
2564,5
2565,5
2566,5
2567,5
2568,5
2569,1
2570,5
2571,5
2572,1
2573,4
2574,1
2575,4
2576,6
2577,4
2578,4
2579,4
2580,4
2581,5
2582,4
2583,4
2584,0
2585,1
2586,4
2587,4
2588,1
2589,4
2590,6
2591,4
2592,4
2593,0
2594,4
2595,5
2596,1
2597,1
2598,5
2599,5
2600,4
2601,5
2602,0
2603,4
2604,4
2605,5
2606,1
2607,1
2608,4
2609,5
2610,4
2611,5
2612,5
2613,4
2614,1
2615,4
2616,4
2617,5
2618,0
2619,5
2620,5
2621,4
2622,6
2623,1
2624,1
2625,4
2626,5
2627,1
2628,5
2629,4
2630,5
2631,1
2632,4
2633,5
2634,1
2635,1
2636,4
2637,1
2638,4
2639,4
2640,4
2641,1
2642,4
